Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
su-zolelemis-mesai,Su žolelėmis mėsai,"<p>Tinka bet kokios rūšies mėsai.</p>
<p>Sudėtis: saldi raudona paprika, česnakai, kmynai, kalendra, krapai, juodieji pipirai, laurų lapai.</p>",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,100,1000.0,,0,deny,manual,1.65,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Suzolelemismesai.jpg?v=1634637089,1,,false,,,,,,,,,,,,,,,,,kg,,,active
su-zolelemis-mesai,,,,,,,,,250g,,,,,100-1,1000.0,,0,deny,manual,4.13,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
su-zolelemis-mesai,,,,,,,,,350g,,,,,100-2,1000.0,,0,deny,manual,5.78,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
su-zolelemis-mesai,,,,,,,,,1kg,,,,,100-3,1000.0,,0,deny,manual,16.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
su-zolelemis-bulvems,Su žolelėmis bulvėms,"Sudėtis: svogūnai, petražolės, valgomoji druska, baltieji pipirai, saldžios raudonosios paprikos, krapai, raudonėliai, rozmarinai.",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,99,1000.0,,0,deny,manual,1.05,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Suzolelemisbulvems.jpg?v=1634637024,1,,false,,,,,,,,,,,,,,,,,kg,,,active
su-zolelemis-bulvems,,,,,,,,,250g,,,,,99-1,1000.0,,0,deny,manual,2.63,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
su-zolelemis-bulvems,,,,,,,,,350g,,,,,99-2,1000.0,,0,deny,manual,3.68,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
su-zolelemis-bulvems,,,,,,,,,1kg,,,,,99-3,1000.0,,0,deny,manual,10.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
su-cesnaku-zuviai,Su česnaku žuviai,"<p>Tinka visiems gaminiams kur naudojate česnaką.</p>
<p>Sudėtis: česnakai, saldžios raudonos paprikos, saldžios žalios paprikos.</p>",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,98,1000.0,,0,deny,manual,2.35,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Sucesnakuzuviai.jpg?v=1634636933,1,,false,,,,,,,,,,,,,,,,,kg,,,active
su-cesnaku-zuviai,,,,,,,,,250g,,,,,98-1,1000.0,,0,deny,manual,5.88,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
su-cesnaku-zuviai,,,,,,,,,350g,,,,,98-2,1000.0,,0,deny,manual,8.23,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
su-cesnaku-zuviai,,,,,,,,,1kg,,,,,98-3,1000.0,,0,deny,manual,23.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
